DISTRICT,IN_TEST,DATE,_1_1,_10_13,_16_1,_16_2_1,_16_2_2,_16_3_1,_16_3_2,_16_3_3,_16_3_4,_16_3_5,_16_7_3,_4_4_2,_4_4_3,_9_1_10,_9_1_11,_9_1_12,_9_1_14,_9_1_15,_9_1_16,_9_1_2,_9_1_3,_9_1_4,_9_1_5,_9_1_6,_9_1_7,_9_1_8,_9_1_9,_9_3_2,_9_4_2,_9_4_4,_9_7_1,_9_7_2,_9_7_3
Sheikhpura,No,Y201702,1352,0,,,,,,,,2,,119,947,1387,1521,1487,0,0,0,1158,0,0,0,1387,1521,1487,816,959,1375,1375,677,670,586
Sheikhpura,No,Y201703,1396,0,,,,,,,,2,,106,868,1158,1306,1421,0,0,1182,1040,0,0,0,1158,1306,1421,805,861,1409,1409,678,667,585
Sheikhpura,No,Y201704,1837,0,0,0,0,0,0,0,0,0,0,72,900,1208,1295,1375,0,0,0,997,0,0,0,1208,1295,1375,779,0,1349,1349,666,654,569
Sheikhpura,No,Y201705,1692,0,1,0,0,0,1,0,0,0,0,122,945,930,981,1073,0,0,0,1075,0,0,0,930,981,1070,842,0,1303,1303,672,667,584
Sheikhpura,No,Y201706,2181,0,0,0,0,0,1,0,0,3,0,154,1065,1083,1117,1201,0,0,0,1161,0,0,0,1083,1117,1201,862,31,1188,1188,656,645,581
Sheikhpura,No,Y201707,2190,0,2,0,0,0,0,0,0,4,0,168,1296,1280,1273,1248,0,0,0,1453,0,0,0,1280,1273,1248,1106,23,1821,1821,678,672,603
Sheikhpura,No,Y201708,1603,0,5,0,0,0,0,0,0,2,0,210,1542,1122,1142,1119,0,0,0,1692,0,0,0,1122,1142,1119,1389,189,1003,1004,666,653,552
Sheikhpura,No,Y201709,1491,0,2,0,0,0,0,0,0,2,0,205,1652,1339,1248,1241,0,0,0,1933,1,0,0,1350,1249,1251,1534,13,1050,1050,670,657,595
Sheikhpura,No,Y201710,1784,0,1,0,0,0,0,0,0,0,0,182,1655,1686,1182,1118,1,0,0,1894,3,0,0,1689,1182,1118,1506,11,1198,1198,684,664,601
Sheikhpura,No,Y201711,1516,0,1,1,0,0,0,0,0,0,0,133,1521,1915,1556,1213,0,1,0,1902,0,1,0,1919,1556,1216,1415,25,1365,1365,734,729,630
Sheikhpura,No,Y201712,1224,0,1,1,0,0,2,0,0,1,1,128,1334,1841,1870,1482,0,0,1,1568,1,5,1,1844,1870,1483,1167,3,1180,1180,740,740,632
